score,class,pred
1.0143884420394897,0,0
1.029850721359253,0,0
1.1066666841506958,0,0
1.0503144264221191,0,0
1.0141843557357788,0,0
0.9933333396911621,0,0
1.0073529481887817,0,0
1.0247524976730347,0,0
1.00632905960083,0,0
1.0061349868774414,0,0
1.0136985778808594,0,0
0.9453551769256592,0,0
0.9918699264526367,0,0
1.0528634786605835,0,0
1.1119999885559082,0,0
0.9686274528503418,0,0
0.9464285969734192,0,0
0.9803921580314636,0,0
0.9365079402923584,0,0
0.8908450603485107,0,0
1.0151515007019043,0,0
0.9766355156898499,0,0
1.0310077667236328,0,0
0.9754098653793335,0,0
0.9504132270812988,0,0
1.0521739721298218,0,0
1.0451127290725708,0,0
0.98591548204422,0,0
0.956204354763031,0,0
1.0223881006240845,0,0
0.9459459185600281,0,0
0.9715447425842285,0,0
1.0311111211776733,0,0
1.0039840936660767,0,0
0.9004974961280823,0,0
0.9545454382896423,0,0
0.9632353186607361,0,0
1.0,0,0
0.9861111044883728,0,0
0.9813664555549622,0,0
0.978723406791687,0,0
0.9644268751144409,0,0
0.9409282803535461,0,0
0.9555555582046509,0,0
1.0362318754196167,0,0
1.021897792816162,0,0
0.9918032884597778,0,0
0.8133333325386047,0,0
1.0328947305679321,0,0
1.1146496534347534,0,0
0.9409090876579285,0,0
0.9420289993286133,0,0
1.0080971717834473,0,0
1.042553186416626,0,0
0.980079710483551,0,0
1.0499999523162842,0,0
0.9576271176338196,0,0
0.9755101799964905,0,0
1.08695650100708,0,0
0.7117646932601929,0,1
1.0384615659713745,0,0
1.0136985778808594,0,0
0.9855072498321533,0,0
0.9659090638160706,0,0
1.0431654453277588,0,0
0.9696969985961914,0,0
1.0198675394058228,0,0
0.9458333253860474,0,0
0.9851484894752502,0,0
0.8589211702346802,0,0
1.024999976158142,0,0
1.0202429294586182,0,0
1.0542635917663574,0,0
0.9772727489471436,0,0
0.985401451587677,0,0
1.0303030014038086,0,0
1.0378787517547607,0,0
1.0215827226638794,0,0
0.9950980544090271,0,0
0.9803921580314636,0,0
0.9579831957817078,0,0
1.03125,0,0
1.0,0,0
0.8345070481300354,0,0
0.9156118035316467,0,0
0.970588207244873,0,0
0.9861751198768616,0,0
0.9432623982429504,0,0
1.0634920597076416,0,0
0.9370629191398621,0,0
1.0,0,0
1.0064934492111206,0,0
1.0880000591278076,0,0
0.9867549538612366,0,0
0.9934210777282715,0,0
0.9807692170143127,0,0
0.957446813583374,0,0
1.0152671337127686,0,0
1.0,0,0
0.9807692170143127,0,0
1.0431373119354248,0,0
0.9925373196601868,0,0
1.0405405759811401,0,0
1.0075187683105469,0,0
1.0144927501678467,0,0
0.9651162624359131,0,0
1.0671641826629639,0,0
1.0,0,0
1.0071429014205933,0,0
0.9631901979446411,0,0
1.0071942806243896,0,0
1.0045661926269531,0,0
1.0198675394058228,0,0
1.0418847799301147,0,0
0.9527027010917664,0,0
1.0,0,0
1.0,0,0
1.0075757503509521,0,0
1.0263158082962036,0,0
0.9891892075538635,0,0
0.9871794581413269,0,0
0.9919028282165527,0,0
0.9902439117431641,0,0
0.9624060392379761,0,0
0.8865545988082886,0,0
1.1234042644500732,0,0
0.9928571581840515,0,0
1.014814853668213,0,0
1.0152283906936646,0,0
0.96484375,0,0
0.9537814855575562,0,0
0.9672130942344666,0,0
0.8843283653259277,0,0
1.0236220359802246,0,0
0.9431818127632141,0,0
1.0123456716537476,0,0
0.9495798349380493,0,0
1.0714285373687744,0,0
0.9407894611358643,0,0
0.9424460530281067,0,0
1.0354609489440918,0,0
0.9300699234008789,0,0
0.9166666865348816,0,0
0.9929577708244324,0,0
0.9317073225975037,0,0
1.0129032135009766,0,0
0.9814814925193787,0,0
0.9629629850387573,0,0
0.94921875,0,0
1.012738823890686,0,0
0.9694322943687439,0,0
0.9940476417541504,0,0
1.062240719795227,0,0
0.9146341681480408,0,0
0.9930070042610168,0,0
0.938095211982727,0,0
1.0215827226638794,0,0
1.0635592937469482,0,0
0.9925373196601868,0,0
1.08695650100708,0,0
0.9728682041168213,0,0
1.0268456935882568,0,0
0.9846153855323792,0,0
0.9282296895980835,0,0
1.0714285373687744,0,0
1.006993055343628,0,0
1.0333333015441895,0,0
0.9370078444480896,0,0
1.029411792755127,0,0
1.0283688306808472,0,0
1.0271493196487427,0,0
0.9166666865348816,0,0
0.9452054500579834,0,0
0.9856114983558655,0,0
1.0063694715499878,0,0
0.949999988079071,0,0
1.0207469463348389,0,0
1.0139859914779663,0,0
0.9647887349128723,0,0
1.051383376121521,0,0
0.9292452931404114,0,0
1.0296295881271362,0,0
0.9385964870452881,0,0
0.947826087474823,0,0
0.9870967864990234,0,0
0.9607843160629272,0,0
0.9442231059074402,0,0
1.0236220359802246,0,0
0.985401451587677,0,0
1.0071429014205933,0,0
0.9189189076423645,0,0
0.97826087474823,0,0
1.0574712753295898,0,0
1.0258064270019531,0,0
1.0222222805023193,0,0
0.9440559148788452,0,0
0.9704641103744507,0,0
0.9665272235870361,0,0
0.918552041053772,0,0
1.0141509771347046,0,0
0.9727891087532043,0,0
1.006666660308838,0,0
0.9776119589805603,0,0
1.051948070526123,0,0
0.904411792755127,0,0
1.0,0,0
0.961240291595459,0,0
0.956204354763031,0,0
0.9530516266822815,0,0
1.0895522832870483,0,0
1.0352941751480103,0,0
0.9788135886192322,0,0
0.9583333134651184,0,0
0.8952381014823914,0,0
0.9529411792755127,0,0
0.970588207244873,0,0
